id$$国标ID,name$$名称,direction$$方向 1-上行 2-下行,dir_name$$道路方向,region_id$$所在地市编码,region_name$$所在地市名称,lat$$纬度,lng$$经度,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,stake_num$$桩号,hex_code$$hex编码,reverse_gantry_hex$$反向门架的hex编码,"work_mode$$工作模式 1-路段门架,2-省界入口门架,3-省界出口门架,4-虚拟门架"
S001637004001220090,吕格庄虚-古柳虚收费门架,2,荣成方向,370600,烟台,36.89100000000000000,120.67900000000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K164+200,3D8409,3C8408,1
S003037001000410040,楼德虚-华丰虚收费门架,1,濮阳方向,370900,泰安,35.81765000000000000,117.18714200000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K261+735,3C860F,3D8610,1
S003037001000510050,华丰虚-磁窑枢纽收费门架,1,濮阳方向,370900,泰安,35.82947700000000000,117.11127300000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K265+385,3C8611,3D8612,1
S003037001001120070,华丰虚-楼德虚收费门架,2,董家口方向,370900,泰安,35.81702400000000000,117.18957800000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K261+785,3D8610,3C860F,1
S003037001001420100,岳家庄虚-新汶枢纽收费门架,2,董家口方向,370900,泰安,35.81687400000000000,117.66436200000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K214+705,3D860A,3C8609,1
S003037002000610040,彭集虚-东济济广枢纽收费门架,1,濮阳方向,370900,泰安,35.85637200000000000,116.52835800000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K327+057,3C8711,3D8712,1
S003037002002320110,东济济广枢纽-彭集虚收费门架,2,董家口方向,370900,泰安,35.85633700000000000,116.52826600000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K327+157,3D8712,3C8711,1
S003037002002520120,彭集虚-汶上北虚收费门架,2,董家口方向,370800,济宁,35.84252200000000000,116.64724600000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K315+397,3D8710,3C870F,1
S003037002002720130,汶上北虚-宁阳虚收费门架,2,董家口方向,370900,泰安,35.83408800000000000,116.88057200000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K292+377,3D870E,3C870D,1
S001637005001110090,坊子西虚-营丘东枢纽收费门架,1,潍坊方向,370700,潍坊,36.57500000000000000,119.09994200000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K317+267,3C8A09,3D8A0A,1
S010137001000510030,孙村东虚-曹范北虚收费门架,1,上海方向,370100,济南,36.65800000000000000,117.37440600000000000,S010137,S0101济南市绕城二环高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K017+850,3C890B,3D890C,1
S010137001000720050,曹范虚-曹范北虚收费门架,2,北京方向,370100,济南,36.62513894300000000,117.38430931100000000,S010137,S0101济南市绕城二环高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K021+430,3D890D,3C890E,1
S003837004002510250,青云枢纽-临沭西虚收费门架,1,菏泽方向,371300,临沂,34.97200000000000000,118.61700000000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K065+230,3C8B19,3D8B1A,1
S003837004002820280,梅埠虚-临沭西虚收费门架,2,岚山方向,371300,临沂,34.95600000000000000,118.58300000000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K068+850,3D8B1C,3C8B1B,1
S003837004004710310,郯城北虚-册山虚收费门架,1,菏泽方向,371300,临沂,34.90100000000000000,118.35200000000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K092+850,3C8B1F,3D8B20,1
S002937004000410040,平邑枢纽-平邑南虚收费门架,1,台儿庄方向,371300,临沂,35.31700000000000000,117.64267900000000000,S002937,S29滨台高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K249+450,3C8E15,3D8E16,1
S002937004001020100,平邑枢纽-蒙山虚收费门架,2,滨州方向,371300,临沂,35.47685080940000000,117.78276929300000000,S002937,S29滨台高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K224+800,3D8E14,3C8E13,1
S002937004001220120,平邑北虚-博莱枢纽收费门架,2,滨州方向,371300,临沂,35.67700000000000000,117.74100000000000000,S002937,S29滨台高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K202+500,3D8E10,3C8E0F,1
S002937006002120060,台儿庄南虚-台儿庄北虚收费门架,2,滨州方向,370400,枣庄,34.59289464350000000,117.65965276000000000,S002937,S29滨台高速,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,K344+900,3D9604,3C9603,1
G002237006000310020,徐村枢纽-辛安枢纽收费门架,1,徐村方向,370200,青岛,36.04573100000000000,120.06439700000000000,S760337,S7603青岛前湾港区3号疏港高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K002+850,3C4002,3D400B,1
G002237006000410030,徐村枢纽-王台南虚收费门架,1,兰州方向,370200,青岛,36.05211300000000000,120.04029800000000000,G002237,G22青兰高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K068+700,3C4003,3D400A,1
G181337003000310030,青龙威青立交-威青华山虚收费门架,1,青岛方向,370200,青岛,36.50682700000000000,120.54779500000000000,G181337,G1813威青高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K178+280,3C4102,3D410B,1
G181337003001320130,青龙威青立交-店集虚收费门架,2,威海方向,370200,青岛,36.57998200000000000,120.66113100000000000,G181337,G1813威青高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K165+600,3D410C,3C4101,1
G001537002000210010,河头店虚-高格庄枢纽收费门架,1,海口方向,370200,青岛,37.01547300000000000,120.55214600000000000,G001537,G15沈海高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K505+780,3C2B01,3D2B04,1
G001837015000210010,灰埠虚-郭家埠枢纽收费门架,1,乌海方向,370200,青岛,36.97101400000000000,119.70511300000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K340+100,3C2C01,3D2C04,1
G001837015000310020,郭家埠枢纽-明村枢纽收费门架,1,董家口方向,370200,青岛,36.92061900000000000,119.64225900000000000,S002137,S21新董高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K002+730,3C2C02,3D2C03,1
G001837004000210010,郭家埠枢纽-新河虚收费门架,1,乌海方向,370200,青岛,36.94758200000000000,119.63902600000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K347+696,3C2D0B,3D2D06,1
G001837004000310020,新河虚-下营虚收费门架,1,乌海方向,370200,青岛,36.95087100000000000,119.59311200000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K351+790,3C2D07,3D2D08,1
G001837004000420030,下营虚-新河虚收费门架,2,荣成方向,370200,青岛,36.95081600000000000,119.59230200000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K351+850,3D2D08,3C2D07,1
S000837001001610160,接庄虚-马坡北虚收费门架,1,济南方向,370800,济宁,35.31393300000000000,116.76809100000000000,S000837,S8济微高速,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,K124+423,3C9A18,3D9A19,1
S000837001002920290,兖州西虚-兖州北虚收费门架,2,微山湖方向,370800,济宁,35.54802300000000000,116.73168900000000000,S000837,S8济微高速,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,K097+516,3D9A12,3C9A11,1
S002437001002420240,景芝虚-安丘虚收费门架,1,商丘方向,370700,潍坊,36.33092700000000000,119.29053800000000000,S002437,S24青商高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K072+630,3D9F14,3C9F13,1
S002437001003210320,井沟枢纽-密水虚收费门架,2,青岛方向,370700,潍坊,36.28834600000000000,119.67685700000000000,S002437,S24青商高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K036+550,3C9F19,3D9F1A,1
S002437001003310330,密水虚-柏城虚收费门架,2,青岛方向,370700,潍坊,36.28756600000000000,119.70060300000000000,S002437,S24青商高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K034+550,3C9F1B,3D9F1C,1
S002437001003510350,胶西虚-杜村虚收费门架,2,青岛方向,370200,青岛,36.24026000000000000,119.90127000000000000,S002437,S24青商高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K014+960,3C9F1F,3D9F20,1
S002437001003810380,九龙西虚-九龙东枢纽收费门架,2,青岛方向,370200,青岛,36.19973900000000000,120.02859500000000000,S002437,S24青商高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,K002+500,3C9F25,3D9F26,1
S000637001000720070,东环路虚-潍安路虚收费门架,2,济南方向,370700,潍坊,36.57824483000000000,119.28168010000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K183+110,3D9D0E,3C9D0D,1
S000637001001320130,北海路虚-营丘东枢纽收费门架,2,济南方向,370700,潍坊,36.55557879000000000,119.13133770000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K169+160,3D9D09,3C9D08,1
S000637001001510150,北海路虚-潍安路虚收费门架,1,潍坊方向,370700,潍坊,36.56393241000000000,119.21194310000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K176+520,3C9D0B,3D9D0C,1
G991137003001120030,唐王北虚-唐王东枢纽收费门架,2,顺时针方向,370100,济南,36.79754700000000000,117.32137400000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K006+400,3D970E,3C970D,1
G991137003001220020,高官寨虚-唐王北虚收费门架,2,顺时针方向,370100,济南,36.83989800000000000,117.30673700000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K010+270,3D9710,3C970F,1
S000537001000120010,彭家枢纽-高青西虚收费门架,2,济南方向,370300,淄博,37.20514300000000000,117.81667800000000000,S000537,S5济高高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K081+800,3D9811,3C9810,1
S000537001000220020,高青西虚-青城北虚收费门架,2,济南方向,370300,淄博,37.20420000000000000,117.71967400000000000,S000537,S5济高高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K073+150,3D980F,3C980E,1
S002737001000410040,秦皇台虚-滨城东虚收费门架,1,临沂方向,371600,滨州,37.47100000000000000,118.09262000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K031+350,3C9B14,3D9B15,1
S002737001001520140,博兴北枢纽-乔庄虚收费门架,2,沾化方向,371600,滨州,37.30500000000000000,118.14600000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K050+950,3D9B1B,3C9B1A,1
S002737001001820160,梁才虚-滨城东虚收费门架,2,沾化方向,371600,滨州,37.40500000000000000,118.10500000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K038+900,3D9B17,3C9B16,1
S002737001002120190,北贾枢纽-富国虚收费门架,2,沾化方向,371600,滨州,37.69600000000000000,118.02800000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K007+600,3D9B12,3C9B11,1
S002737002000210010,桓台东虚-淄博高新北虚收费门架,1,临沂方向,370300,淄博,36.93500000000000000,118.16300000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K099+250,3C9C05,3D9C06,1
S002737002000310020,淄博高新北虚-淄博东枢纽收费门架,1,临沂方向,370300,淄博,36.87180000000000000,118.15900000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K106+080,3C9C07,3D9C08,1
S002737002000520040,淄博高新北虚-桓台东虚收费门架,2,沾化方向,370300,淄博,36.93300000000000000,118.16300000000000000,S002737,S27沾临高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K099+300,3D9C06,3C9C05,1
G991137001001110110,伦镇虚-刘桥莒镇虚收费门架,1,逆时针方向,371400,德州,36.77155561450000000,116.54747344000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,K156+000,3CA025,3DA026,1
G991137001002710250,松竹枢纽-马山虚收费门架,1,逆时针方向,370100,济南,36.35406900000000000,116.72177400000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K104+506,3CA011,3DA012,1
G991137001003210280,马山虚-张夏枢纽收费门架,1,逆时针方向,370100,济南,36.36621800000000000,116.83355000000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K096+356,3CA013,3DA014,1
G991137001004520310,松竹枢纽-孝里北虚收费门架,2,顺时针方向,370100,济南,36.38206100000000000,116.68053800000000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K111+136,3DA010,3CA00F,1
G991137001005220360,刘桥莒镇虚-伦镇虚收费门架,2,顺时针方向,371400,德州,36.77629231880000000,116.54547161600000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,K156+550,3DA026,3CA025,1
G991137001005320370,伦镇虚-安仁枢纽收费门架,2,顺时针方向,371400,德州,36.84823107750000000,116.55249833300000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,K164+350,3DA024,3CA023,1
G991137001005520390,禹城西虚-禹王亭虚收费门架,2,顺时针方向,371400,德州,36.95697387150000000,116.55209841400000000,G991137,G9911济南都市圈环线,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,K177+000,3DA020,3CA01F,1
S000637002000910090,董庄枢纽-临朐东虚收费门架,1,潍坊方向,370700,潍坊,36.52378400000000000,118.73812980000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K130+650 ,3CA108,3DA109,1
S000637002001020100,临朐东虚-董庄枢纽收费门架,2,济南方向,370700,潍坊,36.52385967000000000,118.73871930000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K130+700 ,3DA109,3CA108,1
S000637002007220680,董庄枢纽-临朐北虚收费门架,2,济南方向,370700,潍坊,36.54490100000000000,118.57122600000000000,S000637,S6济潍高速,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,K115+700 ,3DA123,3CA122,1
S000637003004110310,章丘东虚-岭子虚收费门架,1,潍坊方向,370300,淄博,36.63400000000000000,117.71100000000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K33+150 ,3CA20D,3DA301,1
S000637003004310410,岭子虚-昆仑枢纽收费门架,1,潍坊方向,370300,淄博,36.62338800000000000,117.75787800000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K37+600 ,3CA30A,3DA30B,1
S000637003004420420,昆仑枢纽-岭子虚收费门架,2,济南方向,370300,淄博,36.62300000000000000,117.75854900000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K37+650 ,3DA30B,3CA30A,1
S000637003004510430,昆仑枢纽-淄川南虚收费门架,1,潍坊方向,370300,淄博,36.62233100000000000,117.87854700000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K48+800 ,3CA30C,3DA30D,1
S000637003004910470,淄川龙泉虚-洪山枢纽收费门架,1,潍坊方向,370300,淄博,36.60114800000000000,117.99316400000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K60+200 ,3CA310,3DA311,1
S000637003005110490,洪山枢纽-太河虚收费门架,1,潍坊方向,370300,淄博,36.56970800000000000,118.14500000000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K75+200 ,3CA312,3DA313,1
S000637003005220500,太河虚-洪山枢纽收费门架,2,济南方向,370300,淄博,36.56979500000000000,118.14554900000000000,S000637,S6济潍高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K75+250 ,3DA313,3CA312,1
S000637004002510250,曹范北虚-山大南虚收费门架,1,潍坊方向,370100,济南,36.64000000000000000,117.40100000000000000,S000637,S6济潍高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K01+980 ,3CA207,3DA208,1
G001837013001720170,大高虚-古城虚收费门架,2,长春方向,371600,滨州,37.62542500000000000,117.86356800000000000,G002537,G25长深高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K1259+450,3D3010,3C3005,1
G001837013002020220,无棣虚-鲁北收费门架,1,乌海方向,371600,滨州,37.92828300000000000,117.64281600000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K602+500,3F3013,3E3001,3
S002937001001110010,高青虚-桓台北虚收费门架,1,台儿庄方向,370300,淄博,37.18135700000000000,117.96962600000000000,S002937,S29滨台高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K022+435,3C312A,3D3126,1
S002937001001120020,桓台北虚-高青虚收费门架,2,滨州方向,370300,淄博,37.18531656000000000,117.97028980000000000,S002937,S29滨台高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K022+435,3D3126,3C312A,1
S002937001001220020,桓台虚-桓台北虚收费门架,2,滨州方向,370300,淄博,37.00377166000000000,117.97615720000000000,S002937,S29滨台高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K042+541,3D3128,3C3127,1
S720137001000210020,仙河虚-孤岛虚收费门架,1,集贤方向,370500,东营,37.92691600000000000,118.79035300000000000,S720137,S7201东营港疏港高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,K020+350,3C360A,3D3611,1
S720137001000310030,孤岛虚-马场虚收费门架,1,集贤方向,370500,东营,37.85730200000000000,118.73944100000000000,S720137,S7201东营港疏港高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,K029+390,3C360B,3D3610,1
S720137001000510050,东港枢纽-济东东港立交收费门架,1,集贤方向,370500,东营,37.65957200000000000,118.54463600000000000,S720137,S7201东营港疏港高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,K057+530,3C3501,3D3503,1
S720137001000920090,东港枢纽-马场虚收费门架,2,东营港方向,370500,东营,37.78487800000000000,118.68490200000000000,S720137,S7201东营港疏港高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,K038+910,3D360F,3C360C,1
S000137002000310030,茌平西虚-聊城开发虚收费门架,1,聊城方向,371500,聊城,36.53024400000000000,116.20336300000000000,S000137,S1济聊高速,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,K061+730,3C1A02,3D1A13,1
S000137002000510050,聊城东虚-聊城虚收费门架,1,聊城方向,371500,聊城,36.49270500000000000,116.01350100000000000,S000137,S1济聊高速,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,K079+200,3C1A04,3D1A11,1
S000137001000210020,齐河南虚-晏城虚收费门架,1,聊城方向,371400,德州,36.73263300000000000,116.74454300000000000,S000137,S1济聊高速,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,K007+350,3C1B02,3D1B07,1
S000137001000620060,齐河西虚-晏城虚收费门架,2,济南方向,371400,德州,36.70895500000000000,116.67042600000000000,S000137,S1济聊高速,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,K014+400,3D1B06,3C1B03,1
S000137001000820080,齐河南虚-晏城枢纽收费门架,2,济南方向,371400,德州,36.76073800000000000,116.79630900000000000,S000137,S1济聊高速,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,K001+600,3D1B08,3C1B01,1
G000237010001120110,济绕济泰枢纽-港沟枢纽收费门架,2,逆时针方向,370100,济南,36.58731900000000000,117.15454900000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K030+590,3D1C09,3C1C02,1
G000237013001320130,新泰西虚-化马湾虚收费门架,2,泰安方向,370900,泰安,36.05392300000000000,117.45082100000000000,S003137,S31泰新高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K041+760,3D1706,3C1701,1
G000237005000210020,蒙阴虚-孟良崮虚收费门架,1,上海方向,371300,临沂,35.67698800000000000,117.95516800000000000,G000237,G2京沪高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K553+050,3C1813,3D1806,1
G000237005002910290,博莱枢纽-蒙阴西虚收费门架,1,上海方向,370900,泰安,35.75004400000000000,117.82523000000000000,G000237,G2京沪高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K539+360,3C171B,3D1819,1
G000237005003020300,蒙阴西虚-博莱枢纽收费门架,2,北京方向,370900,泰安,35.74817949350000000,117.82740642800000000,G000237,G2京沪高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K539+410,3D1819,3C171B,1
G000237005003420340,临沂枣园虚-临沂北虚收费门架,2,北京方向,371300,临沂,35.28031716220000000,118.25599924400000000,G000237,G2京沪高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K612+500,3D181D,3C181C,1
G000237005003510350,临沂枣园虚-临沂虚收费门架,1,上海方向,371300,临沂,35.18823800000000000,118.24930900000000000,G000237,G2京沪高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K619+800,3C181E,3D181F,1
G002237004000520050,莱芜枢纽-辛庄虚收费门架,2,青岛方向,370100,济南,36.23895900000000000,117.81200300000000000,G002237,G22青兰高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K280+950,3D3C02,3C3C01,1
G002237002000410040,诸葛虚-张家坡虚收费门架,1,兰州方向,371300,临沂,36.04283000000000000,118.53236400000000000,G002237,G22青兰高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K207+200,3C3E04,3D3E05,1
G002237002000520050,张家坡虚-诸葛虚收费门架,2,青岛方向,371300,临沂,36.04308100000000000,118.53133100000000000,G002237,G22青兰高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K207+250,3D3E05,3C3E04,1
G002237002000820080,杨庄虚-孟疃虚收费门架,2,青岛方向,371300,临沂,36.04594300000000000,118.89452500000000000,G002237,G22青兰高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K173+500,3D3E08,3C3E01,1
G181337002000510050,海阳西虚-辛安虚收费门架,1,青岛方向,370600,烟台,36.67822800000000000,121.01448700000000000,G181337,G1813威青高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K130+900,3C4204,3D420C,1
G181337002000610060,辛安虚-行村虚收费门架,1,青岛方向,370600,烟台,36.66821700000000000,120.93480700000000000,G181337,G1813威青高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K138+100,3C4205,3D420B,1
G181337002000810080,羊郡虚-穴坊虚收费门架,1,青岛方向,370600,烟台,36.64695800000000000,120.80689700000000000,G181337,G1813威青高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K150+290,3C4207,3D4209,1
G181337002000910090,穴坊虚-店集虚收费门架,1,青岛方向,370600,烟台,36.61793000000000000,120.72219900000000000,G181337,G1813威青高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K158+650,3C4208,3D410E,1
G181337002001620160,海阳虚-烟海威青枢纽收费门架,2,威海方向,370600,烟台,36.76601000000000000,121.22709700000000000,G181337,G1813威青高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K109+390,3D420E,3C4202,1
