id$$主键，国标id,station_id$$省标ID,name$$简称,full_name$$全称,toll_plaza_count$$收费广场数量,lng$$经度,lat$$纬度,toll_station_lane_count$$收费站总车道数,toll_station_mtc_count_in$$mtc车道数（入口）,toll_station_etc_count_in$$etc专用车道（入口）,toll_station_etc_count_out$$etc专用车道（出口）,toll_station_mtc_count_out$$mtc专用车道（出口）,region_id$$所在地市编码,region_name$$所在地级市,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_section_id$$None,opma_section_name$$None,opma_stake_num$$所在桩号（运营业务）,opma_stake_no$$所在桩号（保留3位小数）千米
S0027370010070,720707,博兴南,山东博兴南收费站,2.0,118.249729000000000,37.072972000000000,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S002737,S27沾临高速,S00273716,S27沾临高速滨州段,K080+209,80.209
S0027370020020,720802,淄博高新北,山东淄博高新北收费站,1.0,118.159301000000000,36.884242000000000,7.0,2.0,1.0,2.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K105+117,105.117
S0024370010010,720601,安丘,山东安丘收费站,2.0,119.238979000000000,36.332197000000000,6.0,2.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S002437,S24青商高速,S00243707,S24青商高速潍坊段,K078+201,78.201
S0024370010060,720606,胶西,山东胶西站,2.0,119.891859000000000,36.252175000000000,6.0,2.0,1.0,1.0,2.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,S002437,S24青商高速,S00243702,S24青商高速青岛段,K016+633,16.633
G9911370010080,720908,马山,山东马山站,2.0,116.777509000000000,36.356010000000000,7.0,2.0,1.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K098+625,98.625
G0003370070010,041001,泰安北,山东泰安北站,2.0,116.989789000000000,36.238873000000000,8.0,2.0,2.0,2.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033709,G3京台高速泰安段,K458+615,458.615
G0018370120010,110101,垦利,山东垦利站,2.0,118.594987000000000,37.541742000000000,7.0,2.0,1.0,1.0,3.0,370500,东营,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,G001837,G18荣乌高速,G00183705,G18荣乌高速东营段,K491+000,491.000
G0025370010020,110202,阳河,山东阳河站,2.0,118.547370000000000,36.917160000000000,4.0,1.0,1.0,1.0,1.0,370700,潍坊,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1399+000,1399.000
S7201370010040,130104,仙河,山东仙河站,2.0,118.811819000000000,37.936864000000000,4.0,1.0,1.0,1.0,1.0,370500,东营,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,S720137,S7201东营港疏港高速,S72013705,S7201东营港疏港高速,K018+230,18.230
S0021370010040,721304,柴沟,山东柴沟站,2.0,119.5726520000000000,36.2374960000000000,,,,,,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S002137,S21新董高速,S00213707,S21新董高速潍坊段,K83+888,83.888
S0021370010080,721308,明董桃园,山东明董桃园站,2.0,119.6426430000000000,35.9295480000000000,,,,,,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S002137,S21新董高速,S00213707,S21新董高速潍坊段,K120+673,120.673
S0027370030050,721405,西河,山东西河站,2.0,117.992028099,36.5022129038,,,,,,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K153+078,153.087
G0018370170060,721506,养马岛,山东养马岛站,4.0,121.598597000000000,37.420011000000000,13.0,4.0,2.0,3.0,4.0,370600,烟台,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K127+847,127.847
S0027370010050,720705,乔庄,山东乔庄收费站,2.0,118.138369583,37.3222631957,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S002737,S27沾临高速,S00273716,S27沾临高速滨州段,K048+302,48.302
S0027370030020,721402,张店东,山东张店东站,2.0,118.132266,36.753056,,,,,,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K119+798,119.798
S0008370010050,720105,接庄,山东接庄站,2.0,116.7408143,35.3475479,9.0,3.0,2.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,S000837,S8济微高速,S00083708,S8济微高速济宁段,K120+842,120.842
G9911370020030,721803,临南,山东临南站,,116.90195941,37.05037589,6.0,2.0,1.0,1.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,G991137,G9911济南都市圈环线,G99113714,G9911济南都市圈环线高速德州段,K213+871,213.871
G9911370020040,721804,临邑兴隆,山东临邑兴隆站,,116.74943574,37.04050716,6.0,2.0,1.0,1.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,G991137,G9911济南都市圈环线,G99113714,G9911济南都市圈环线高速德州段,K200+096,200.096
S0014370010010,722001,大年陈,山东大年陈站,2.0,117.537006,37.204513,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S001437,S14高武高速,S00143716,S14高商高速滨州段,K012+482,12.482
S0014370010020,722002,姜楼,山东姜楼站,2.0,117.482872,37.214145,8.0,2.0,2.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S001437,S14高武高速,S00143716,S14高商高速滨州段,K017+451,17.451
S0014370010040,722004,商河东,山东商河东站,2.0,117.192318,37.331624,8.0,2.0,2.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S001437,S14高武高速,S00143701,S14高商高速济南段,K47+731,47.731
S0036370010100,721910,滕州东,山东滕州东站,2.0,117.27359,35.179535,6.0,2.0,1.0,1.0,2.0,,枣庄,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,S003637,S36临滕高速,,,K214+205,214.205
G1511370050010,722201,曲阜南,山东曲阜南站,2.0,116.984403000000000,35.533800000000000,9.0,2.0,2.0,2.0,3.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K234+000,234.000
G1511370050030,722203,济宁,山东济宁站,2.0,116.661556000000000,35.526654000000000,10.0,2.0,2.0,4.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K264+000,264.000
G1511370030080,080308,嘉祥,山东嘉祥站,2.0,116.354336000000000,35.480070000000000,6.0,2.0,1.0,1.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K294+000,294.000
S0001370020070,060107,冠县,山东冠县站,2.0,115.479366000000000,36.519755000000000,8.0,2.0,1.0,3.0,2.0,371500,聊城,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,S000137,S1济聊高速,S00013715,S1济聊高速聊城段,K129+011,129.011
G0002370050050,050206,临沂北,山东临沂北站,4.0,118.254833000000000,35.271144000000000,15.0,4.0,2.0,5.0,4.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K610+367,610.367
G0002370060040,050304,红花埠,山东红花埠站,2.0,118.336753000000000,34.441949000000000,15.0,2.0,3.0,6.0,4.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K705+471,705.471
G0002370080030,400103,起步区大桥站,山东起步区大桥站,2.0,117.007459000000000,36.843638000000000,6.0,3.0,0.0,0.0,3.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K101+374,101.374
G0003370010040,020104,德州南,山东德州南站,2.0,116.381707471597000,37.374525518637700,14.0,3.0,4.0,5.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K314+000,314.000
G0003370010060,020106,平原南,山东平原南站,2.0,116.564706672416000,37.122171214406700,15.0,4.0,3.0,4.0,4.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K347+000,347.000
G0003370020030,020603,满庄,山东满庄站,2.0,117.093200000000000,36.033949000000000,8.0,2.0,1.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033709,G3京台高速泰安段,K483+000,483.000
G0003370020040,020604,宁阳东,山东宁阳东站,2.0,117.067627000000000,35.895205000000000,9.0,2.0,2.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033709,G3京台高速泰安段,K499+000,499.000
G0003370040050,020306,济南北,山东济南北站,2.0,117.021227000000000,36.711391000000000,12.0,3.0,2.0,2.0,5.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G003537,G35济广高速,G00353701,G35济广高速济南段,K024+300,24.300
G0003370050040,020205,禹城东,山东禹城东站,1.0,116.711143000000000,36.916931000000000,7.0,2.0,1.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K373+663,373.663
G0003370080030,020503,枣庄,山东枣庄站,4.0,117.294284348183000,34.808856540917600,9.0,2.0,1.0,3.0,3.0,370400,枣庄,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,G000337,G3京台高速,G00033704,G3京台高速枣庄段,K625+000,625.000
G0003370080040,020504,峄城,山东峄城站,4.0,117.413234000000000,34.607768000000000,7.0,2.0,1.0,2.0,2.0,370400,枣庄,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,G000337,G3京台高速,G00033704,G3京台高速枣庄段,K651+535,651.535
G0015370070050,080109,日照港,山东日照港站,2.0,119.417551000000000,35.372862000000000,18.0,2.0,4.0,8.0,4.0,371100,日照,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,S780137,S7801日照疏港高速,S78013711,S7801日照港石臼港区疏港高速,K010+360,10.360
G0015370080020,090202,杜家疃,山东杜家疃站,2.0,121.360992000000000,37.437416000000000,8.0,2.0,2.0,1.0,3.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K149+000,149.000
G0015370080030,090203,崇义,山东崇义站,2.0,121.268596000000000,37.463015000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K158+000,158.000
G0015370090060,080901,日照机场,山东日照机场站,2.0,119.372882000000000,35.395631000000000,10.0,2.0,2.0,4.0,2.0,371100,日照,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,S009037,S90日照机场连接线,S00903711,S90日照机场连接线,K001+490,1.490
G0018370010010,350101,荣成,山东荣成站,2.0,122.340161000000000,37.078334000000000,13.0,2.0,2.0,6.0,3.0,371000,威海,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,G001837,G18荣乌高速,G00183710,G18荣乌高速威海段,K002+980,2.980
G0018370050020,090302,蓬莱西,山东蓬莱西站,2.0,120.690666000000000,37.637372000000000,8.0,2.0,1.0,3.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K218+620,218.620
G0018370050040,090304,龙口,山东龙口站,2.0,120.350712000000000,37.539284000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K252+100,252.100
G0018370060010,090401,招远,山东招远站,2.0,120.259240000000000,37.396431000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K270+000,270.000
G0018370070030,200103,潍坊北,山东潍坊北站,2.0,119.164844000000000,36.977674000000000,8.0,2.0,1.0,3.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G001837,G18荣乌高速,G00183707,G18荣乌高速潍坊段,K390+700,390.700
G0018370070040,200104,寿光东,山东寿光东站,2.0,118.973256000000000,37.010579000000000,7.0,2.0,1.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G001837,G18荣乌高速,G00183707,G18荣乌高速潍坊段,K408+150,408.150
G0018370140010,120501,滨州港,山东滨州港站,2.0,117.903953000000000,37.733212000000000,6.0,1.0,1.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G001837,G18荣乌高速,G00183716,G18荣乌高速滨州段,K568+126,568.126
G0018370140030,120503,沾化东,山东沾化东站,2.0,118.167843000000000,37.734785000000000,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G001837,G18荣乌高速,G00183716,G18荣乌高速滨州段,K544+727,544.727
G0020370010020,040502,高密,山东高密站,2.0,119.787495000000000,36.466507000000000,16.0,4.0,2.0,4.0,6.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K083+000,83.000
G0020370030050,040401,潍坊西,山东潍坊西站,2.0,119.034477274801000,36.747337514579900,19.0,2.0,4.0,9.0,4.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K160+500,160.500
G0020370030070,040403,潍坊东,山东潍坊东站,2.0,119.245718780768000,36.715231702253600,22.0,4.0,4.0,8.0,6.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K140+360,140.360
G0020370050060,040207,淄博高新区,山东淄博高新区站,2.0,118.135201000000000,36.856367000000000,11.0,2.0,2.0,5.0,2.0,370300,淄博,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,G002037,G20青银高速,G00203703,G20青银高速淄博段,K242+927,242.927
G0020370060010,040101,济南,山东济南站,2.0,117.042058000000000,36.727938000000000,11.0,3.0,1.0,2.0,5.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G003537,G35济广高速,G00353701,G35济广高速济南段,K022+209,22.209
G0020370060030,040103,章丘,山东章丘站,2.0,117.497737000000000,36.855886000000000,12.0,2.0,2.0,5.0,3.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G002037,G20青银高速,G00203701,G20青银高速济南段,K301+996,301.996
G0020370060040,040107,章丘西,山东章丘西站,2.0,117.418949000000000,36.822675000000000,7.0,2.0,1.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G002037,G20青银高速,G00203701,G20青银高速济南段,K310+108,310.108
G0020370070020,020701,高唐东,山东高唐东站,2.0,116.377146819940000,36.898581197231900,4.0,2.0,0.0,0.0,2.0,371500,聊城,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G002037,G20青银高速,G00203715,G20青银高速聊城段,K407+100,407.100
G0020370070040,020703,夏津,山东夏津站,2.0,116.019357545067000,37.003980066978900,5.0,2.0,0.0,0.0,3.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G002037,G20青银高速,G00203714,G20青银高速德州段,K441+000,441.000
G0022370010020,180402,诸城西,山东诸城西站,2.0,119.217056000000000,36.057772000000000,6.0,1.0,1.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002237,G22青兰高速,G00223707,G22青兰高速潍坊段,K144+423,144.423
G0022370020010,180301,诸葛,山东诸葛站,2.0,118.548853000000000,36.033979000000000,7.0,2.0,1.0,2.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002237,G22青兰高速,G00223713,G22青兰高速临沂段,K205+425,205.425
G0022370030010,180201,鲁村,山东鲁村站,2.0,117.988486000000000,36.194790000000000,5.0,1.0,1.0,1.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,G002237,G22青兰高速,G00223703,G22青兰高速淄博段,K263+000,263.000
G0022370070070,020602,泰肥,山东泰肥站,2.0,117.029528580030000,36.151886791058300,6.0,2.0,1.0,1.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K365+140,365.140
G0022370100010,690201,角峪,山东角峪收费站,2.0,117.434481000000000,36.157191000000000,6.0,1.0,2.0,2.0,1.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K328+471,328.471
G0022370100020,690202,泰安东,山东泰安东收费站,2.0,117.170947000000000,36.147188000000000,12.0,4.0,1.0,4.0,3.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K353+560,353.560
G0025370020030,280103,青州南,山东青州南站,2.0,118.593989000000000,36.623513000000000,8.0,2.0,1.0,3.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1433+200,1433.200
G0025370020040,280104,临朐,山东临朐站,2.0,118.620009000000000,36.515251000000000,8.0,2.0,1.0,3.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1445+870,1445.870
G0025370030020,280202,沂水,山东沂水站,2.0,118.673358000000000,35.804759000000000,8.0,2.0,1.0,3.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1528+770,1528.770
G0025370040030,280303,临沭北,山东临沭北站,2.0,118.668229000000000,35.044503000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1617+000,1617.000
G0025370040040,280304,临沭,山东临沭站,2.0,118.739776000000000,34.917320000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1633+680,1633.680
G0035370010050,160105,东平,山东东平站,2.0,116.414901000000000,35.930092000000000,8.0,1.0,2.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,G003537,G35济广高速,G00353709,G35济广高速泰安段,K146+000,146.000
G0035370010060,160106,梁山,山东梁山站,2.0,116.222094000000000,35.684464000000000,7.0,2.0,1.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,G003537,G35济广高速,G00353708,G35济广高速济宁段,K179+000,179.000
G0035370040010,080601,郓城南,山东郓城南站,3.0,116.037677000000000,35.458371000000000,14.0,3.0,3.0,5.0,3.0,371700,菏泽,YG1,山东高速集团,YG109,山东高速菏泽发展有限公司,YG109  ,山东高速菏泽发展有限公司,G003537,G35济广高速,G00353717,G35济广高速菏泽段,K212+471,212.471
G1511370020010,080201,沂南,山东沂南站,2.0,118.503343000000000,35.398656000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G151137,G1511日兰高速,G15113713,G1511日兰高速临沂段,K090+200,90.200
G1511370020020,080202,费县,山东费县站,2.0,117.950633000000000,35.373111000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G151137,G1511日兰高速,G15113713,G1511日兰高速临沂段,K142+700,142.700
G1511370030010,080301,泉林,山东泉林站,2.0,117.394735000000000,35.493142000000000,4.0,1.0,1.0,1.0,1.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K195+000,195.000
G1511370040030,020803,牡丹,山东牡丹站,2.0,115.421628000000000,35.131841000000000,6.0,1.0,1.0,2.0,2.0,371700,菏泽,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,G151137,G1511日兰高速,G15113717,G1511日兰高速菏泽段,K395+764,395.764
G1813370020060,190206,海阳,山东海阳站,4.0,121.203297000000000,36.760632000000000,8.0,2.0,2.0,2.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G181337,G1813威青高速,G18133706,G1813威青高速烟台段,K111+000,111.000
G1815370010030,470103,昌乐南,山东昌乐南站,2.0,119.110157000000000,36.488375000000000,7.0,2.0,1.0,1.0,3.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,G181537,G1815潍日高速,G18153707,G1815潍日高速潍坊段,K068+551,68.551
G2011370040020,010105,田庄,山东田庄站,2.0,119.751284000000000,36.777454000000000,4.0,1.0,1.0,1.0,1.0,370200,青岛,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10113,潍莱运管中心,S001637,S16荣潍高速,S00163702,S16荣潍高速青岛段,K248+000,248.000
S0001370020090,060109,聊城开发,山东聊城开发站,4.0,116.091236000000000,36.495548000000000,8.0,4.0,0.0,0.0,4.0,371500,聊城,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,S000137,S1济聊高速,S00013715,S1济聊高速聊城段,K072+007,72.007
S0011370010040,250104,乳山北,山东乳山北站,4.0,121.376114000000000,37.010305000000000,4.0,1.0,1.0,1.0,1.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,S001137,S11烟海高速,S00113710,S11烟海高速威海段,K050+000,50.000
S0011370010050,250105,诸往,山东诸往站,3.0,121.362941000000000,36.957575000000000,4.0,1.0,1.0,1.0,1.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,S001137,S11烟海高速,S00113710,S11烟海高速威海段,K056+000,56.000
S0011370010060,250106,海阳北,山东海阳北站,2.0,121.306302000000000,36.880972000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,S001137,S11烟海高速,S00113706,S11烟海高速烟台段,K066+000,66.000
S0012370010020,230102,阳信,山东阳信站,2.0,117.637216000000000,37.684352000000000,6.0,1.0,1.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S001237,S12滨德高速,S00123716,S12滨德高速滨州段,K017+100,17.100
S0012370020060,230206,德州西,山东德州西站,2.0,116.317186000000000,37.516149000000000,5.0,1.0,1.0,1.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,S001237,S12滨德高速,S00123714,S12滨德高速德州段,K141+800,141.800
S0012370020080,230208,乐陵东,山东乐陵东站,1.0,117.249916000000000,37.675091000000000,8.0,2.0,1.0,3.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,S001237,S12滨德高速,S00123714,S12滨德高速德州段,K052+500,52.500
S0016370030020,600102,下初,山东下初站,2.0,121.605563000000000,37.058319000000000,6.0,2.0,1.0,1.0,2.0,371000,威海,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,S001637,S16荣潍高速,S00163710,S16荣潍高速威海段,K071+496,71.496
S0016370040030,600203,万第,山东万第站,2.0,120.843727000000000,36.909011000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S001637,S16荣潍高速,S00163706,S16荣潍高速烟台段,K146+777,146.777
S0016370040040,600204,古柳,山东古柳站,2.0,120.714091000000000,36.883086000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S001637,S16荣潍高速,S00163706,S16荣潍高速烟台段,K159+952,159.952
